feature,HS_mean,HS_std,NHS_mean,NHS_std,Cohens_d,AUC,AUC_abs,p_value
spatial_mean,0.2913651452353685,0.05789731077877646,0.25971259409032704,0.1600568033686393,0.21352101737545032,0.657665335777601,0.657665335777601,3.0963692162624106e-51
spatial_variance,0.1875002395578868,0.021727312755964224,0.15537682455384091,0.056974418503135366,0.6079177464514829,0.6563271015880394,0.6563271015880394,2.121991005027839e-50
low_energy_ratio,0.9447271522253391,0.0021923605435742077,0.94671606867318,0.013368884134701216,-0.16224675801640534,0.5347911271850855,0.5347911271850855,0.0008918987853233069
mid_energy_ratio,0.04465658956989072,0.0022281839647602026,0.04479142835145307,0.011302132729014905,-0.012995820391809763,0.3525257867160828,0.6474742132839172,4.7682941836879494e-45
high_energy_ratio,0.010616261744615597,0.0005925264689132024,0.008492500929003393,0.0027665383412876954,0.8356475173042264,0.790440060590164,0.790440060590164,2.478480970817922e-169
high_low_ratio,0.011237551697926356,0.000629162811324841,0.009004465214427318,0.0029850988395603855,0.8144454924691051,0.7825274666170041,0.7825274666170041,2.4264366479200508e-160
spectral_centroid,0.05311329344181946,0.0017447756937407119,0.04949527974039545,0.012417964001187639,0.31796317794949414,0.4155269285274424,0.5844730714725577,7.189633479975705e-16
dc_energy_ratio,0.30787406260162037,0.06106690001891454,0.2715650237872057,0.16434475730784096,0.23837793954208722,0.6589509694023462,0.6589509694023462,4.799879904086217e-52
total_dct_energy,13835.645273609392,2754.4527829411854,12465.730894364393,7828.8319543184125,0.1890580309402671,0.656508597230604,0.656508597230604,1.636050832253422e-50
