feature,HS_mean,HS_std,NHS_mean,NHS_std,Cohens_d,AUC,AUC_abs,p_value
spatial_mean,0.2862318039241463,0.05990003961595684,0.23426612512592007,0.0647989055499199,0.8153644882244965,0.739245395127748,0.739245395127748,4.1878233258248557e-13
spatial_variance,0.19212915868771197,0.027193153672148574,0.16902783425415263,0.0311536005963676,0.7621560630937112,0.7297385620915032,0.7297385620915032,3.37814736290691e-12
low_energy_ratio,0.9636974256448071,0.004222565581510024,0.9673511648879332,0.007615985948576233,-0.5219938931332472,0.3557932263814616,0.6442067736185384,1.2474404559640572e-05
mid_energy_ratio,0.032184093739047195,0.00391811067493211,0.028555948703604585,0.006906697772372279,0.57047726484748,0.6620320855614973,0.6620320855614973,9.14262529202626e-07
high_energy_ratio,0.004118480975974841,0.0004661652612448116,0.004092876021476353,0.0007819090768362798,0.03540540264716833,0.45436720142602494,0.5456327985739751,0.16689213367745148
high_low_ratio,0.004275151533121714,0.0004991187924647527,0.004237067778183915,0.0008359303154672976,0.049250518162189075,0.45950683303624484,0.5404931669637552,0.22000141818832808
spectral_centroid,0.03372772413127218,0.003074634680826293,0.03164483949125041,0.005883674648993763,0.386952890491187,0.5804812834224599,0.5804812834224599,0.0147607937374871
dc_energy_ratio,0.29512698398997084,0.06185776160233964,0.2406150862793712,0.06668045611611109,0.8305971244174464,0.7411170528817588,0.7411170528817588,2.759680119819612e-13
total_dct_energy,13929.338447956125,2911.647458683637,11444.894875919117,3161.7292386270374,0.7995253888026437,0.7366013071895426,0.7366013071895426,7.565811119441523e-13
