feature,HS_mean,HS_std,NHS_mean,NHS_std,Cohens_d,AUC,AUC_abs,p_value
spatial_mean,0.3943770073953716,0.04861762746360343,0.294085639995032,0.10974861199301776,0.9256981201614288,0.8178492589088616,0.8178492589088616,2.5477681451556637e-46
spatial_variance,0.2225397416743739,0.008494592220128482,0.18572853042373158,0.03812629539582254,0.9803890245263367,0.837945714938179,0.837945714938179,3.946362352491797e-52
low_energy_ratio,0.9619487328775997,0.0016090120704786777,0.9602915743328878,0.011597029014370288,0.14516973253270532,0.5903152491871377,0.5903152491871377,4.902524769312348e-05
mid_energy_ratio,0.031839939069816435,0.0014382163670681554,0.03409676318433111,0.010183442431899965,-0.22514220388828293,0.3837384051588208,0.6162615948411791,1.7258005152393856e-07
high_energy_ratio,0.006211326813496564,0.0005599288956981796,0.005611666960153502,0.0017564167604033414,0.34637908135532014,0.6038364923498516,0.6038364923498516,3.0400879138881966e-06
high_low_ratio,0.006457489759971698,0.0005868603156964867,0.005862731965599152,0.0018719895490503062,0.3223552155223582,0.5938429082525909,0.5938429082525909,2.45587624536296e-05
spectral_centroid,0.03631723998153161,0.00111775405374791,0.03682816031741143,0.008652649673309403,-0.05999029991909367,0.3968061853652171,0.6031938146347828,3.4976015840475694e-06
dc_energy_ratio,0.40884416970028276,0.05097311861221175,0.3042900769140434,0.11259936456652009,0.9404778576128753,0.8164562468056417,0.8164562468056417,6.2548794470141895e-46
total_dct_energy,19088.107595860274,2326.642172889301,14262.89821751359,5375.641630512858,0.909397389428514,0.8192498831000772,0.8192498831000772,1.0304655496109888e-46
