feature,HS_mean,HS_std,NHS_mean,NHS_std,Cohens_d,AUC,AUC_abs,p_value
spatial_mean,0.3030658324177449,0.06948524344985034,0.28299355135413795,0.19005129035757734,0.10603497903332154,0.649342925116121,0.649342925116121,0.008658862070795956
spatial_variance,0.19099757648431337,0.024503372742402905,0.15846696920608566,0.058460157029587456,0.5585622219949323,0.6578679052905857,0.6578679052905857,0.005526019105295181
low_energy_ratio,0.9475104304460379,0.004957575302859852,0.9563922288667119,0.022321230967423035,-0.3996451287699874,0.5485725614591593,0.5485725614591593,0.39332212429154456
mid_energy_ratio,0.04215094611908381,0.004073590835852588,0.036299317723705225,0.018596446203328298,0.3160393950915815,0.3888212303160757,0.6111787696839244,0.05070094136268463
high_energy_ratio,0.010338638927071141,0.0011148855753573762,0.00730844956424991,0.003891521192989871,0.7819458544975774,0.8307607341112496,0.8307607341112496,6.119051187610064e-09
high_low_ratio,0.010916500280682858,0.0012055427158115257,0.00773535199423698,0.004150853557383645,0.7696056918301643,0.8224056870964087,0.8224056870964087,1.456425172312736e-08
spectral_centroid,0.05121689552692583,0.00448581611690469,0.043469150873403056,0.021059055484640207,0.3695183993629847,0.3543956043956044,0.6456043956043955,0.010494891617898322
dc_energy_ratio,0.3194972981627171,0.07248121202471262,0.2917652492262615,0.18910800981011128,0.14722069439577024,0.6510705789056304,0.6510705789056304,0.007926851614997416
total_dct_energy,14425.04668719952,3345.50323869445,13781.264752855708,9585.5222738666,0.06743260544421899,0.6485499037045429,0.6485499037045429,0.009031446583793833
