feature,HS_mean,HS_std,NHS_mean,NHS_std,Cohens_d,AUC,AUC_abs,p_value
spatial_mean,0.320883552494802,0.08179810592548079,0.2674201141935743,0.14842656157560355,0.362823205516069,0.6577954319761669,0.6577954319761669,1.3551316444346986e-07
spatial_variance,0.19439554269376555,0.028829230387828173,0.163430710363882,0.05672222697824942,0.5501386935637592,0.6498770511183619,0.6498770511183619,5.537122441235114e-07
low_energy_ratio,0.9472025124650253,0.0019921116124255287,0.9521087534049557,0.01706602973906277,-0.29046381893005063,0.549807301272048,0.549807301272048,0.09615135636779323
mid_energy_ratio,0.04202188598482232,0.001875944999120341,0.03979750150878038,0.014246104870942338,0.1577510869557776,0.38000189152125596,0.619998108478744,6.108649470708471e-05
high_energy_ratio,0.010775601010965674,0.0006829338799246645,0.008093744386209524,0.00322176708341068,0.8407630182309621,0.8356386248640469,0.8356386248640469,3.5531913048351727e-29
high_low_ratio,0.011376790535685263,0.0007282962942080261,0.008557651468024388,0.0034836550360433424,0.8173708822743698,0.8288504279566842,0.8288504279566842,4.491484644388384e-28
spectral_centroid,0.051953816604911794,0.002131645478392373,0.04716775681659398,0.01542850176160412,0.3134043277994735,0.38388187449756467,0.6161181255024353,0.00010490369949988578
dc_energy_ratio,0.33872595194138977,0.08629182891934617,0.278401818182765,0.15033187261858366,0.4040847081259678,0.6616896013618951,0.6616896013618951,6.615775178032777e-08
total_dct_energy,15252.616092722039,3890.812554624553,12893.713113237263,7361.039380575599,0.32287291894832093,0.6537593984962407,0.6537593984962407,2.8006375806292603e-07
